"Recibido","ID de Pedido","Canal","Estado del pedido","Marca","Tienda","Cantidad de los artículos","Subtotal","Propina","Service Fee","Ajustes","Descuento","Descuento de la plataforma","Payout","Error Charges","Aceptado","Modo de cumplimiento","Tipo de programación","Currency Code"
"31/10/2023, 23:15:19","EBBB9","Uber Eats","Entregado","Tepuy Basics","Goleta","3","30.60","0.00","0.00","0.00","0.00","0.00","30.60","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 22:47:48","3B990","Uber Eats","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","2","29.10","0.00","0.00","0.00","0.00","0.00","19.24","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 22:45:21","AXRNAYCE","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","1","16.80","0.00","0.00","0.00","0.00","0.00","16.80","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 22:43:03","ATMFTV6J","Glovo","Entregado","Tepuy Basics","Umbrella SH - Calle Linares","2","19.70","0.00","0.00","0.00","0.00","0.00","19.70","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 22:35:54","C8C62","Uber Eats","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","4","51.50","0.00","0.00","0.00","0.00","0.00","42.15","0.00","Aceptado","Para Recoger","De inmediato","EUR"
"31/10/2023, 22:27:50","BGM3ERAC","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","2","29.20","0.00","0.00","0.00","0.00","-10.00","29.20","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 22:26:36","AJ1HZ6UY","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","2","28.10","0.00","0.00","0.00","0.00","0.00","28.10","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 22:20:54","AGJCV2XE","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","2","27.20","0.00","0.00","0.00","0.00","0.00","27.20","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 22:19:49","ARCN4GRB","Glovo","Entregado","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","2","15.10","0.00","0.00","0.00","0.00","0.00","15.10","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 22:16:41","5F9A7","Uber Eats","Entregado","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","6","73.60","0.00","0.00","0.00","0.00","0.00","48.66","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 22:11:50","BDFNQDZN","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","2","36.40","0.00","0.00","0.00","0.00","0.00","36.40","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 22:10:13","ALN9LLGY","Glovo","Entregado","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","1","17.30","0.00","0.00","0.00","0.00","0.00","17.30","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 22:07:30","AUVXTYLB","Glovo","Entregado","Tepuy Basics","Goleta","2","25.00","0.00","0.00","0.00","0.00","0.00","25.00","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 22:02:14","BYA17Z7P","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","5","54.00","0.00","0.00","0.00","0.00","0.00","54.00","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 21:59:39","A1ZGJGDE","Glovo","Entregado","Tepuy Basics","Goleta","2","41.20","0.00","0.00","0.00","0.00","0.00","9.30","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 21:55:32","A8F8RUD8","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Calle Bazan","1","27.60","0.00","0.00","0.00","0.00","0.00","27.60","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 21:54:02","AH7QBA96","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","2","28.80","0.00","0.00","0.00","0.00","0.00","28.80","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 21:49:27","AJUTLUFL","Glovo","Entregado","Tepuy Basics","Umbrella SH - Calle Linares","3","32.70","0.00","0.00","0.00","0.00","0.00","32.70","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 21:45:04","A1U31LPS","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","2","28.60","0.00","0.00","0.00","0.00","0.00","28.60","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 21:40:57","AFE30","Uber Eats","Entregado","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","1","15.30","0.00","0.00","0.00","0.00","0.00","10.12","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 21:35:50","B8YH1ZPL","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","2","17.70","0.00","0.00","0.00","0.00","0.00","17.70","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 21:33:31","AFYNLBCB","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Calle Bazan","5","71.80","0.00","0.00","0.00","0.00","0.00","71.80","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 21:30:24","AUGU1RAH","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","2","28.50","0.00","0.00","0.00","0.00","0.00","28.50","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 21:26:27","AHJR3SGR","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Calle Bazan","3","46.10","0.00","0.00","0.00","0.00","-6.00","46.10","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 21:26:14","BPRPWH6S","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","1","28.80","0.00","0.00","0.00","0.00","0.00","28.80","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 21:14:14","BBC1HNSQ","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","2","36.70","0.00","0.00","0.00","0.00","0.00","36.70","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 21:05:58","7355F","Uber Eats","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","2","25.60","0.00","0.00","0.00","0.00","0.00","16.92","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 21:03:49","APLBVZ8E","Glovo","Entregado","Tepuy Basics","Goleta","4","28.50","0.00","0.00","0.00","0.00","0.00","28.50","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 21:01:25","A1MUXSF3","Glovo","Entregado","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","4","35.20","0.00","0.00","0.00","0.00","0.00","35.20","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 20:59:53","ANY1LHQL","Glovo","Entregado","Tepuy Basics","Goleta","5","41.00","0.00","0.00","0.00","0.00","0.00","41.00","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 20:47:53","9F5FF","Uber Eats","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","2","18.20","0.00","0.00","0.00","0.00","0.00","12.03","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 20:44:13","776901362","Gloria Foods","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","2","27.30","0.00","0.00","0.00","0.00","0.00","29.78","0.00","Aceptado","Para Recoger","De inmediato","EUR"
"31/10/2023, 20:41:26","C1D54","Uber Eats","Entregado","Tepuy Basics","Goleta","3","19.30","0.00","0.00","0.00","0.00","0.00","12.77","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 20:38:24","AURHNJSF","Glovo","Entregado","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","3","17.00","0.00","0.00","0.00","0.00","0.00","17.00","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 20:26:59","BL1K6YSH","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","1","32.20","0.00","0.00","0.00","0.00","0.00","32.20","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 20:23:18","AC3C8","Uber Eats","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","2","28.70","0.00","0.00","0.00","0.00","0.00","18.97","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 20:20:33","A1C1U8RA","Glovo","Entregado","Tepuy Basics","Goleta","3","36.00","0.00","0.00","0.00","0.00","0.00","36.00","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 20:18:59","AH2V1XQ1","Glovo","Entregado","Tepuy Basics","Goleta","3","24.00","0.00","0.00","0.00","0.00","0.00","24.00","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 20:18:07","BPA27KH1","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","3","42.10","0.00","0.00","0.00","0.00","0.00","42.10","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 20:16:37","ACDYUQQE","Glovo","Entregado","Tepuy Basics","Goleta","1","34.20","0.00","0.00","0.00","0.00","0.00","34.20","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 20:05:34","AYP7VPEQ","Glovo","Entregado","Tepuy Basics","Goleta","2","11.20","0.00","0.00","0.00","0.00","0.00","11.20","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 20:01:26","ABX9X1PR","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Calle Bazan","2","15.70","0.00","0.00","0.00","0.00","0.00","15.70","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 15:40:03","0471D","Uber Eats","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","1","14.30","0.00","0.00","0.00","0.00","0.00","9.46","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 15:28:13","APJ18S1M","Glovo","Entregado","Tepuy Basics","Goleta","2","18.50","0.00","0.00","0.00","-3.70","0.00","14.80","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 15:22:09","AW3LXMZU","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","3","20.30","0.00","0.00","0.00","-9.20","0.00","11.10","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 15:02:57","A17EJRKZ","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","4","60.20","0.00","0.00","0.00","-28.60","0.00","31.60","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 15:01:43","BUPRPX1T","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","2","33.00","0.00","0.00","0.00","0.00","0.00","33.00","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 14:44:56","B77UV255","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","2","28.60","0.00","0.00","0.00","0.00","0.00","28.60","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 14:41:20","AW1AJKDV","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","4","53.40","0.00","0.00","0.00","-26.70","0.00","26.70","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 14:40:56","BVEAYVQQ","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","1","15.70","0.00","0.00","0.00","0.00","0.00","15.70","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 14:40:53","A4497","Uber Eats","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","2","30.80","0.00","0.00","0.00","0.00","0.00","20.37","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 14:26:53","ARMNBCQU","Glovo","Entregado","Tepuy Basics","Goleta","3","23.70","0.00","0.00","0.00","0.00","0.00","23.70","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 14:25:44","B9GMH9BS","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","1","12.30","0.00","0.00","0.00","0.00","-12.00","12.30","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 14:24:06","AFNDJUYN","Glovo","Entregado","Tepuy Basics","Umbrella SH - San Vicent del Raspeig","1","32.20","0.00","0.00","0.00","-6.12","0.00","26.08","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 14:23:08","A9DDA","Uber Eats","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","1","13.90","0.00","0.00","0.00","0.00","0.00","9.19","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 13:47:20","B6BPWKYB","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","1","14.30","0.00","0.00","0.00","0.00","0.00","14.30","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"31/10/2023, 13:06:41","C4786","Uber Eats","Entregado","Tepuy Basics","EMEA - SP - MAD - Tetuan","3","19.70","0.00","0.00","0.00","0.00","0.00","13.02","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"30/10/2023, 23:08:30","MBJDPKJ6","Glovo","Entregado","Tepuy Basics","EMEA - SP - MAD - Tetuan","1","17.10","0.00","0.00","0.00","-3.18","0.00","13.92","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"30/10/2023, 22:40:56","MZ3LBYLF","Glovo","Entregado","Tepuy Basics","EMEA - SP - MAD - Salamanca","1","13.90","0.00","0.00","0.00","-2.78","0.00","11.12","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"30/10/2023, 22:11:07","AM1MX2WY","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Calle Bazan","5","59.60","0.00","0.00","0.00","0.00","0.00","59.60","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"30/10/2023, 22:05:30","AGDWN5FS","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Calle Bazan","4","24.00","0.00","0.00","0.00","0.00","-3.00","24.00","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"30/10/2023, 22:04:56","M471G3KG","Glovo","Entregado","Tepuy Basics","EMEA - SP - MAD - Tetuan","1","15.90","0.00","0.00","0.00","-3.18","0.00","12.72","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"30/10/2023, 21:53:13","AJ4XVLHG","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","4","72.00","0.00","0.00","0.00","0.00","0.00","72.00","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"30/10/2023, 21:34:53","AP9RLUXA","Glovo","Entregado","Tepuy Basics","Goleta","5","39.00","0.00","0.00","0.00","0.00","0.00","39.00","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"30/10/2023, 21:15:22","2D87C","Uber Eats","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","1","15.40","0.00","0.00","0.00","0.00","0.00","10.18","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"30/10/2023, 21:02:01","A5EHL6DP","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","3","36.60","0.00","0.00","0.00","0.00","0.00","36.60","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"30/10/2023, 20:52:08","BZN432SJ","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","4","38.40","0.00","0.00","0.00","0.00","0.00","38.40","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"30/10/2023, 20:47:07","A8W57CHT","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Calle Bazan","2","18.20","0.00","0.00","0.00","0.00","0.00","18.20","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"30/10/2023, 20:37:36","ATLQHMDD","Glovo","Entregado","Tepuy Basics","Umbrella SH - Calle Linares","1","18.00","0.00","0.00","0.00","0.00","0.00","18.00","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"30/10/2023, 20:35:20","BHQP1QGF","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","4","47.00","0.00","0.00","0.00","0.00","0.00","47.00","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"30/10/2023, 20:22:19","ADNBU1HZ","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Calle Bazan","3","44.40","0.00","0.00","0.00","0.00","0.00","44.40","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"30/10/2023, 20:20:16","ARJXFHJK","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","2","18.40","0.00","0.00","0.00","0.00","0.00","18.40","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"30/10/2023, 15:57:48","AZB1Q2U8","Glovo","Entregado","Tepuy Basics","Goleta","2","19.70","0.00","0.00","0.00","-3.70","0.00","16.00","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"30/10/2023, 14:32:56","A1YYH1UP","Glovo","Entregado","Tepuy Basics","Goleta","4","33.80","0.00","0.00","0.00","-2.52","0.00","31.28","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"30/10/2023, 14:15:59","A1NLHXP1","Glovo","Entregado","Tepuy Basics","Umbrella SH - Calle Linares","3","29.40","0.00","0.00","0.00","-3.70","0.00","25.70","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 23:36:54","2E792","Uber Eats","Entregado","Tepuy Basics","EMEA - SP - MAD - Salamanca","4","29.80","0.00","0.00","0.00","0.00","0.00","20.79","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 23:14:56","AJ1WTWBV","Glovo","Entregado","Tepuy Basics","Goleta","1","31.60","0.00","0.00","0.00","0.00","0.00","31.60","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 22:43:29","AXURKH8M","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","5","76.80","0.00","0.00","0.00","0.00","0.00","76.80","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 22:35:21","ABJUT5LD","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","1","17.20","0.00","0.00","0.00","0.00","0.00","17.20","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 22:19:16","90D39","Uber Eats","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","1","15.10","0.00","0.00","0.00","0.00","0.00","9.98","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 21:54:22","DD857","Uber Eats","Entregado","Tepuy Basics","EMEA - SP - MAD - Salamanca","2","27.80","0.00","0.00","0.00","0.00","0.00","19.39","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 21:52:09","A5CXTMM5","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","5","38.30","0.00","0.00","0.00","0.00","0.00","38.30","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 21:39:21","BQFV82SW","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","4","24.90","0.00","0.00","0.00","0.00","0.00","24.90","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 21:39:16","1589B","Uber Eats","Entregado","Tepuy Burger","Tepuy Burger - Benidorm","1","31.00","0.00","0.00","0.00","0.00","0.00","20.50","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 21:25:31","AAQMJHBZ","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Calle Bazan","2","22.10","0.00","0.00","0.00","0.00","0.00","22.10","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
"29/10/2023, 21:25:17","AWW6FY4L","Glovo","Entregado","Tepuy Burger","Tepuy Burger - Rodolfo Salazar","1","14.60","0.00","0.00","0.00","0.00","0.00","14.60","0.00","Aceptado","Entrega del mercado","De inmediato","EUR"
