createdtime,createdtimeutc,location,orderid,channel,payment,paymentamount,subtotal,vat,productnames,itemprice,itemquantities,discounttotal
2023-04-30 22:51:18+0200,2023-04-30 20:51:18,Alicante - Periodista Rodolfo Salazar,C5C6A,Uber Eats,ONLINE,12.9,25.8,1.18,Caprichosa,1290,2,0.0
2023-04-30 22:36:25+0200,2023-04-30 20:36:25,Alicante - Periodista Rodolfo Salazar,BD770,Uber Eats,ONLINE,15.9,28.8,1.45,Caprichosa,1290,2,0.0
2023-04-30 22:36:25+0200,2023-04-30 20:36:25,Alicante - Periodista Rodolfo Salazar,BD770,Uber Eats,ONLINE,15.9,28.8,1.45,Madurada PUNTO en lugar de carne normal,150,2,0.0
2023-04-30 22:10:04+0200,2023-04-30 20:10:04,Alicante - Periodista Rodolfo Salazar,A892B,Uber Eats,ONLINE,21.8,21.8,1.98,Tequenutellla PL,390,1,0.0
2023-04-30 22:10:04+0200,2023-04-30 20:10:04,Alicante - Periodista Rodolfo Salazar,A892B,Uber Eats,ONLINE,21.8,21.8,1.98,Arepa Sifrina,770,2,0.0
2023-04-30 22:10:04+0200,2023-04-30 20:10:04,Alicante - Periodista Rodolfo Salazar,A892B,Uber Eats,ONLINE,21.8,21.8,1.98,Boniato guarnición,250,1,0.0
2023-04-30 21:59:31+0200,2023-04-30 19:59:31,Alicante - Bazan,BB3B8,Uber Eats,ONLINE,36.6,36.6,3.34,Tequemix,990,1,0.0
2023-04-30 21:59:31+0200,2023-04-30 19:59:31,Alicante - Bazan,BB3B8,Uber Eats,ONLINE,36.6,36.6,3.34,Beety Miranda,1270,1,0.0
2023-04-30 21:59:31+0200,2023-04-30 19:59:31,Alicante - Bazan,BB3B8,Uber Eats,ONLINE,36.6,36.6,3.34,Tomate,50,1,0.0
2023-04-30 21:59:31+0200,2023-04-30 19:59:31,Alicante - Bazan,BB3B8,Uber Eats,ONLINE,36.6,36.6,3.34,Lechuga,50,1,0.0
2023-04-30 21:59:31+0200,2023-04-30 19:59:31,Alicante - Bazan,BB3B8,Uber Eats,ONLINE,36.6,36.6,3.34,Cebolla Cruda,50,1,0.0
2023-04-30 21:59:31+0200,2023-04-30 19:59:31,Alicante - Bazan,BB3B8,Uber Eats,ONLINE,36.6,36.6,3.34,Cheesebacon,1250,1,0.0
2023-04-30 22:01:55+0200,2023-04-30 20:01:55,Alicante - Periodista Rodolfo Salazar,1F69D,Uber Eats,ONLINE,14.0,14.0,1.28,Cheesebacon,1250,1,0.0
2023-04-30 22:01:55+0200,2023-04-30 20:01:55,Alicante - Periodista Rodolfo Salazar,1F69D,Uber Eats,ONLINE,14.0,14.0,1.28,Boniato frito,150,1,0.0
2023-04-30 22:00:05+0200,2023-04-30 20:00:05,Alicante - Periodista Rodolfo Salazar,77B6E,Uber Eats,ONLINE,32.0,44.9,2.91,LA UNO,1460,1,0.0
2023-04-30 22:00:05+0200,2023-04-30 20:00:05,Alicante - Periodista Rodolfo Salazar,77B6E,Uber Eats,ONLINE,32.0,44.9,2.91,Mixto de patatas y boniato,150,3,0.0
2023-04-30 22:00:05+0200,2023-04-30 20:00:05,Alicante - Periodista Rodolfo Salazar,77B6E,Uber Eats,ONLINE,32.0,44.9,2.91,Caprichosa,1290,2,0.0
2023-04-30 22:00:06+0200,2023-04-30 20:00:06,Alicante - Periodista Rodolfo Salazar,4F032,Uber Eats,ONLINE,12.9,25.8,1.18,Caprichosa,1290,2,0.0
2023-04-30 21:59:22+0200,2023-04-30 19:59:22,Alicante - Periodista Rodolfo Salazar,7695D,Uber Eats,ONLINE,18.4,31.3,1.68,Gofre con helado,550,1,0.0
2023-04-30 21:59:22+0200,2023-04-30 19:59:22,Alicante - Periodista Rodolfo Salazar,7695D,Uber Eats,ONLINE,18.4,31.3,1.68,Caprichosa,1290,2,0.0
2023-04-30 21:59:40+0200,2023-04-30 19:59:40,Alicante - Periodista Rodolfo Salazar,7503A,Uber Eats,ONLINE,12.9,25.8,1.18,Caprichosa,1290,2,0.0
2023-04-30 22:03:37+0200,2023-04-30 20:03:37,Alicante - Bazan,A5EKM1EL,Glovo,CARD,37.8,37.8,0.0,Beety Miranda,1270,2,0.0
2023-04-30 22:03:37+0200,2023-04-30 20:03:37,Alicante - Bazan,A5EKM1EL,Glovo,CARD,37.8,37.8,0.0,Tomate,50,1,0.0
2023-04-30 22:03:37+0200,2023-04-30 20:03:37,Alicante - Bazan,A5EKM1EL,Glovo,CARD,37.8,37.8,0.0,Cebolla Pochada,100,1,0.0
2023-04-30 22:03:37+0200,2023-04-30 20:03:37,Alicante - Bazan,A5EKM1EL,Glovo,CARD,37.8,37.8,0.0,Salsa Tepuy (Servidas aparte),100,1,0.0
2023-04-30 22:03:37+0200,2023-04-30 20:03:37,Alicante - Bazan,A5EKM1EL,Glovo,CARD,37.8,37.8,0.0,Tequeños,990,1,0.0
2023-04-30 21:56:48+0200,2023-04-30 19:56:48,Alicante - Periodista Rodolfo Salazar,B31D3,Uber Eats,ONLINE,24.5,37.4,2.23,Tequenutellla PL,390,1,0.0
2023-04-30 21:56:48+0200,2023-04-30 19:56:48,Alicante - Periodista Rodolfo Salazar,B31D3,Uber Eats,ONLINE,24.5,37.4,2.23,Arepa Rumbera Remix,770,1,0.0
2023-04-30 21:56:48+0200,2023-04-30 19:56:48,Alicante - Periodista Rodolfo Salazar,B31D3,Uber Eats,ONLINE,24.5,37.4,2.23,Caprichosa,1290,2,0.0
2023-04-30 21:50:18+0200,2023-04-30 19:50:18,Alicante - Bazan,63F86,Uber Eats,ONLINE,34.6,34.6,3.15,Chicken Tenders,770,1,0.0
2023-04-30 21:50:18+0200,2023-04-30 19:50:18,Alicante - Bazan,63F86,Uber Eats,ONLINE,34.6,34.6,3.15,Inglesa,1230,1,0.0
2023-04-30 21:50:18+0200,2023-04-30 19:50:18,Alicante - Bazan,63F86,Uber Eats,ONLINE,34.6,34.6,3.15,LA UNO,1460,1,0.0
2023-04-30 21:51:37+0200,2023-04-30 19:51:37,Alicante - Periodista Rodolfo Salazar,C3948,Uber Eats,ONLINE,12.9,25.8,1.18,Caprichosa,1290,2,0.0
2023-04-30 21:56:04+0200,2023-04-30 19:56:04,Alicante - Periodista Rodolfo Salazar,128399797,Just Eat,CARD,35.09,33.1,3.01,Arepa Reina Pepiada,770,1,0.0
2023-04-30 21:56:04+0200,2023-04-30 19:56:04,Alicante - Periodista Rodolfo Salazar,128399797,Just Eat,CARD,35.09,33.1,3.01,Patatas guarnición,150,1,0.0
2023-04-30 21:56:04+0200,2023-04-30 19:56:04,Alicante - Periodista Rodolfo Salazar,128399797,Just Eat,CARD,35.09,33.1,3.01,Arepa Rumbera Remix,770,1,0.0
2023-04-30 21:56:04+0200,2023-04-30 19:56:04,Alicante - Periodista Rodolfo Salazar,128399797,Just Eat,CARD,35.09,33.1,3.01,Arepa Pelúa,850,1,0.0
2023-04-30 21:56:04+0200,2023-04-30 19:56:04,Alicante - Periodista Rodolfo Salazar,128399797,Just Eat,CARD,35.09,33.1,3.01,Arepa Sifrina,770,1,0.0
2023-04-30 21:37:39+0200,2023-04-30 19:37:39,Alicante - Periodista Rodolfo Salazar,22444,Uber Eats,ONLINE,29.2,29.2,2.65,LA UNO,1460,2,0.0
2023-04-30 21:35:57+0200,2023-04-30 19:35:57,Alicante - Periodista Rodolfo Salazar,1BFAB,Uber Eats,ONLINE,12.9,25.8,1.18,Caprichosa,1290,2,0.0
2023-04-30 21:34:04+0200,2023-04-30 19:34:04,Alicante - Periodista Rodolfo Salazar,8D180,Uber Eats,ONLINE,38.8,38.8,3.53,Perla Negra,1430,1,0.0
2023-04-30 21:34:04+0200,2023-04-30 19:34:04,Alicante - Periodista Rodolfo Salazar,8D180,Uber Eats,ONLINE,38.8,38.8,3.53,Trío Criollo,1220,1,0.0
2023-04-30 21:34:04+0200,2023-04-30 19:34:04,Alicante - Periodista Rodolfo Salazar,8D180,Uber Eats,ONLINE,38.8,38.8,3.53,Inglesa,1230,1,0.0
2023-04-30 21:24:47+0200,2023-04-30 19:24:47,Alicante - Bazan,01EA6,Uber Eats,ONLINE,16.7,16.7,1.52,Beety Miranda,1270,1,0.0
2023-04-30 21:24:47+0200,2023-04-30 19:24:47,Alicante - Bazan,01EA6,Uber Eats,ONLINE,16.7,16.7,1.52,Boniato frito,150,1,0.0
2023-04-30 21:24:47+0200,2023-04-30 19:24:47,Alicante - Bazan,01EA6,Uber Eats,ONLINE,16.7,16.7,1.52,Una más de ternera gallega,250,1,0.0
2023-04-30 21:24:48+0200,2023-04-30 19:24:48,Alicante - Bazan,A1JGVWQK,Glovo,CARD,20.1,20.1,0.0,Cocacola zero bote,190,1,0.0
2023-04-30 21:24:48+0200,2023-04-30 19:24:48,Alicante - Bazan,A1JGVWQK,Glovo,CARD,20.1,20.1,0.0,Tequenutellla PL,390,1,0.0
2023-04-30 21:24:48+0200,2023-04-30 19:24:48,Alicante - Bazan,A1JGVWQK,Glovo,CARD,20.1,20.1,0.0,Perla Negra,1430,1,0.0
2023-04-30 21:17:09+0200,2023-04-30 19:17:09,Alicante - Periodista Rodolfo Salazar,160,Glovo,CARD,12.5,12.5,0.0,Cheesebacon,1250,1,0.0
2023-04-30 21:09:18+0200,2023-04-30 19:09:18,Alicante - Periodista Rodolfo Salazar,C4310,Uber Eats,ONLINE,16.9,29.8,1.54,Caprichosa,1290,2,0.0
2023-04-30 21:09:18+0200,2023-04-30 19:09:18,Alicante - Periodista Rodolfo Salazar,C4310,Uber Eats,ONLINE,16.9,29.8,1.54,Salsa Tepuy (Servidas aparte),100,4,0.0
2023-04-30 21:06:11+0200,2023-04-30 19:06:11,Alicante - Periodista Rodolfo Salazar,75D02,Uber Eats,ONLINE,25.8,51.6,2.35,Caprichosa,1290,4,0.0
2023-04-30 21:05:52+0200,2023-04-30 19:05:52,Alicante - Periodista Rodolfo Salazar,A9D4D,Uber Eats,ONLINE,19.9,19.9,1.81,El Zar,1490,1,0.0
2023-04-30 21:05:52+0200,2023-04-30 19:05:52,Alicante - Periodista Rodolfo Salazar,A9D4D,Uber Eats,ONLINE,19.9,19.9,1.81,Mixto de patatas y boniato,150,1,0.0
2023-04-30 21:05:52+0200,2023-04-30 19:05:52,Alicante - Periodista Rodolfo Salazar,A9D4D,Uber Eats,ONLINE,19.9,19.9,1.81,Extra Carne Madurada (dry-aged),350,1,0.0
2023-04-30 20:49:19+0200,2023-04-30 18:49:19,Alicante - Bazan,AYGV5ZLQ,Glovo,CARD,96.4,96.4,0.0,PACK 18 TEQUEÑOS,2670,1,0.0
2023-04-30 20:49:19+0200,2023-04-30 18:49:19,Alicante - Bazan,AYGV5ZLQ,Glovo,CARD,96.4,96.4,0.0,LA UNO,1460,1,0.0
2023-04-30 20:49:19+0200,2023-04-30 18:49:19,Alicante - Bazan,AYGV5ZLQ,Glovo,CARD,96.4,96.4,0.0,Andale,1360,1,0.0
2023-04-30 20:49:19+0200,2023-04-30 18:49:19,Alicante - Bazan,AYGV5ZLQ,Glovo,CARD,96.4,96.4,0.0,Cheesebacon,1250,1,0.0
2023-04-30 20:49:19+0200,2023-04-30 18:49:19,Alicante - Bazan,AYGV5ZLQ,Glovo,CARD,96.4,96.4,0.0,La Muergana,1450,2,0.0
2023-04-30 20:53:11+0200,2023-04-30 18:53:11,Alicante - Periodista Rodolfo Salazar,B128E,Uber Eats,ONLINE,22.8,35.7,2.08,Tequeños,990,1,0.0
2023-04-30 20:53:11+0200,2023-04-30 18:53:11,Alicante - Periodista Rodolfo Salazar,B128E,Uber Eats,ONLINE,22.8,35.7,2.08,Caprichosa,1290,2,0.0
2023-04-30 20:36:54+0200,2023-04-30 18:36:54,Alicante - Bazan,AQG1VBLM,Glovo,CARD,34.9,34.9,0.0,La Muergana,1450,1,0.0
2023-04-30 20:36:54+0200,2023-04-30 18:36:54,Alicante - Bazan,AQG1VBLM,Glovo,CARD,34.9,34.9,0.0,Madurada PUNTO en lugar de carne normal,150,1,0.0
2023-04-30 20:36:54+0200,2023-04-30 18:36:54,Alicante - Bazan,AQG1VBLM,Glovo,CARD,34.9,34.9,0.0,Cebolla Pochada,100,1,0.0
2023-04-30 20:36:54+0200,2023-04-30 18:36:54,Alicante - Bazan,AQG1VBLM,Glovo,CARD,34.9,34.9,0.0,Salsa Beety (Servidas aparte),100,1,0.0
