artículos_ordenados,cantidad,precio_de_venta,artículo_subtotal,id_de_pedido,service_fee
Patatas fritas Pequeñas,1,2.5,2.5,35999,0.0
Kahuna Burger,1,8.5,8.5,35999,0.0
Sweet Home Sanvi,1,12.3,12.3,B0FE0,0.0
Chicken Tenders,1,7.6,7.6,B0FE0,0.0
Tequeños,1,6.4,6.4,B0FE0,0.0
Ned Kelly,1,10.9,10.9,B0FE0,0.0
Patatas fritas Pequeñas,3,2.5,7.5,B0FE0,0.0
Zima Blue,1,11.7,11.7,B0FE0,0.0
Tequeños,1,6.4,6.4,733718610,0.0
Salsa Sweet-Umbrella,1,1.5,1.5,733718610,0.0
El honesto Mike,1,12.3,12.3,733718610,0.0
BBQ-Bourbon,1,1.5,1.5,733718610,0.0
Alitas,1,7.2,7.2,733718610,0.0
Tequeños,2,6.4,12.8,MJCSFN4D,0.0
Kahuna Burger,2,8.5,17.0,MJCSFN4D,0.0
Sweet Home Alicante,1,11.7,11.7,2EA3C,0.0
Combo Para Compartir,1,30.6,30.6,AZNGLQJ3,0.0
Kahuna Burger,2,8.5,17.0,MFP9UKX1,0.0
Patatas fritas L,1,4.5,4.5,733741998,0.0
Sweet Home Alicante,1,12.3,12.3,733741998,0.0
Cerveza Estrella Galicia 33CL,1,1.9,1.9,733742425,0.0
Oklahoma Umbrella,2,7.5,15.0,733742425,0.0
Tequeños,2,6.4,12.8,MVD6YD6J,0.0
El Honesto Mike,2,12.7,25.4,MVD6YD6J,0.0
Dulces sueños,1,5.9,5.9,MVD6YD6J,0.0
Patatas fritas Grandes,1,4.5,4.5,MAHT1AY8,0.0
Kahuna Burger,2,8.5,17.0,MAHT1AY8,0.0
Charles Wells,1,8.3,8.3,733746170,0.0
Kahuna Burger,1,8.1,8.1,733746170,0.0
Patatas fritas L,1,4.5,4.5,733746170,0.0
RABIOSA,1,14.2,14.2,AHALDM3L,0.0
Patatas fritas Grandes,1,4.5,4.5,MSGP4Y9L,0.0
Kahuna Burger,4,8.5,34.0,MSGP4Y9L,0.0
Tequeños,2,6.4,12.8,MSGP4Y9L,0.0
Coca-cola,1,1.9,1.9,733746893,0.0
Ned Kelly,1,10.9,10.9,733746893,0.0
Patatas fritas S,1,2.5,2.5,733746893,0.0
Ned Kelly,1,10.9,10.9,8F7A0,0.0
Patatas fritas Pequeñas,1,2.5,2.5,8F7A0,0.0
Slim Combo (Para 1),1,11.9,11.9,733748639,0.0
Sweet Home Madrid,1,12.7,12.7,133814716,0.0
Salsa BBQ-Bourbon,1,1.5,1.5,133814716,0.0
Patatas fritas Pequeñas,1,2.5,2.5,133814716,0.0
Patatas fritas L,1,4.5,4.5,733751823,0.0
Kahuna Burger,1,8.1,8.1,733751823,0.0
Oklahoma Umbrella,1,7.5,7.5,733751823,0.0
Sweet Home Alicante,1,12.3,12.3,733751823,0.0
Zima Blue,2,11.0,22.0,AA661,0.0
Patatas fritas Grandes,1,3.5,3.5,AA661,0.0
Cerveza Mahou 5 Estrellas (330ml),1,1.9,1.9,133816242,0.0
Cheesecake de Oreo,1,5.9,5.9,133816242,0.0
Sweet Home Madrid,1,12.7,12.7,133816242,0.0
Sweet Home Madrid,1,12.7,12.7,373E6,0.0
Salsa X,1,1.5,1.5,373E6,0.0
Patatas fritas Pequeñas,1,2.5,2.5,A9AEE,0.0
Sweet Home Madrid,1,12.7,12.7,A9AEE,0.0
Slim Combo (para 1),1,11.9,11.9,A37C8,0.0
Kahuna Burger,2,8.5,17.0,MJZJTMLV,0.0
Tequeños,1,6.4,6.4,22138,0.0
Monchi Meal (Para 2),1,23.8,23.8,22138,0.0
Zima Blue,1,11.7,11.7,F7581,0.0
Monchi Meal Combo (Para 2),1,23.8,23.8,733757412,0.0
Patatas Fritas,1,2.5,2.5,ALUFTNGM,0.0
Burger La Uno Basic,1,12.6,12.6,ALUFTNGM,0.0
Slim Combo (Para 1),1,11.9,11.9,54E7D,0.0
Sweet Home Alicante,1,12.3,12.3,733759344,0.0
El honesto Mike,1,12.3,12.3,733759344,0.0
Alitas,1,7.2,7.2,733759344,0.0
Slim Combo (Para 1),2,11.9,23.8,133817356,0.0
Patatas fritas Pequeñas,1,2.5,2.5,91D24,0.0
Kahuna Burger,1,8.5,8.5,91D24,0.0
Charles Wells,1,7.7,7.7,6E439,0.0
Patatas fritas Pequeñas,1,2.0,2.0,6E439,0.0
Burger Cheesebacon,4,10.9,43.6,C5CBD,0.0
Coca-Cola Zero Azúcar lata 330ml.,1,1.9,1.9,MJG1XF7K,0.0
Tarta Marquesa de Nutella,1,5.9,5.9,MJG1XF7K,0.0
Boniato frito grande,1,6.9,6.9,MJG1XF7K,0.0
Ned Kelly,1,11.4,11.4,MJG1XF7K,0.0
Patatas fritas Grandes,1,4.5,4.5,MJYCRCHC,0.0
Tequeños,2,6.4,12.8,MJYCRCHC,0.0
Salsa Zima Blue,1,1.5,1.5,MJYCRCHC,0.0
El Honesto Mike,2,12.7,25.4,MJYCRCHC,0.0
Burger La Uno Basic,1,12.6,12.6,AYSH8BHZ,0.0
Sweet Home Madrid,1,12.7,12.7,133818954,0.0
Patatas fritas Pequeñas,1,2.5,2.5,133818954,0.0
Boniato frito grande,1,6.9,6.9,133818954,0.0
Tequeños,2,6.4,12.8,MGSDSNWC,0.0
El Honesto Mike,2,12.7,25.4,MGSDSNWC,0.0
Monchi Meal (Para 2),1,23.8,23.8,DD8C0,0.0
Combo Para Compartir,1,32.6,32.6,49561,0.0
Chicken Tenders (7 Uds.),1,7.9,7.9,49561,0.0
Alitas,1,7.2,7.2,133821027,0.0
Patatas fritas Grandes,1,4.5,4.5,133821027,0.0
Patatas fritas Pequeñas,1,2.5,2.5,133821027,0.0
Sweet Home Madrid,1,12.7,12.7,133821027,0.0
Burger La Caprichosa,2,11.9,23.8,ME1BLSZR,0.0
Coca-Cola Sabor Original lata 330ml.,1,1.9,1.9,7C6A3,0.0
Patatas fritas Pequeñas,1,2.5,2.5,7C6A3,0.0
Kahuna Burger,1,8.5,8.5,7C6A3,0.0
Sweet Home Madrid,1,12.7,12.7,FD5FA,0.0
Patatas fritas Grandes,1,4.5,4.5,FD5FA,0.0
Salsa Mayo Trufa,1,1.5,1.5,FD5FA,0.0
Slim Combo (Para 1),1,11.9,11.9,133823751,0.0
Kahuna Burger,1,8.5,8.5,133823751,0.0
Burger Perla Negra,1,12.5,12.5,ACJUMBQK,0.0
Chicken Tenders (7 Uds.),1,7.2,7.2,ACJUMBQK,0.0
Burger La Zar Basic,1,12.9,12.9,ARPBDXR4,0.0
Chicken Tenders (7 Uds.),1,7.2,7.2,ARPBDXR4,0.0
Burger Perla Negra,1,12.5,12.5,ARPBDXR4,0.0
Patatas Fritas,2,2.5,5.0,ARPBDXR4,0.0
Tequeños (4 Uds.),1,5.9,5.9,ARPBDXR4,0.0
Burger La Uno Basic,1,12.6,12.6,AFVSX1KF,0.0
Alitas De Pollo Fritas (7 Uds.),1,7.2,7.2,AFVSX1KF,0.0
Chicken Tenders (7 Uds.),1,7.2,7.2,A21KDU1W,0.0
Burger La Zar Basic,1,12.9,12.9,A21KDU1W,0.0
Patatas Fritas,1,2.5,2.5,A21KDU1W,0.0
Cheescake de Oreo,1,5.9,5.9,A21KDU1W,0.0
Burger Perla Negra,1,12.5,12.5,A21KDU1W,0.0
Sweet Home Alicante,2,12.3,24.6,733894546,0.0
Kahuna Burger,1,7.7,7.7,08533,0.0
Patatas fritas Grandes,1,3.5,3.5,08533,0.0
Salsa X,1,1.5,1.5,08533,0.0
Patatas fritas Grandes,1,4.5,4.5,C5E04,0.0
Zima Blue,1,11.7,11.7,C5E04,0.0
Kahuna Burger,1,8.1,8.1,C5E04,0.0
Sweet Home Alicante,1,12.3,12.3,E08C6,0.0
Ned Kelly,1,10.9,10.9,E08C6,0.0
