order_id_software,item,price,quantity
128399797,Arepa Reina Pepiada,7.7,1
128399797,Patatas guarnición,1.5,1
128399797,Arepa Rumbera Remix,7.7,1
128399797,Arepa Pelúa,8.5,1
128399797,Arepa Sifrina,7.7,1
128359424,Arepa Sifrina,7.7,1
128359424,Arepa Rumbera Remix,7.7,1
128359424,Tequemix,9.9,1
128335005,Beety Miranda,12.7,2
128335005,Mixto de patatas y boniato,1.5,2
128335005,Extra Carne Madurada (dry-aged),3.5,2
128335005,Cocacola bote,1.9,2
128328474,Patatas Fritas bacon,7.7,1
128328474,Trío Criollo,12.2,1
128328474,MayoBacon (Servidas aparte),1.5,1
128328474,LA UNO,14.6,1
128328474,Salsa Tepuy (Servidas aparte),1.0,2
128328474,Extra Carne Madurada (dry-aged),3.5,1
128328474,Chicken Tenders,7.7,1
128328474,Cheesebacon,12.5,1
128288843,Tequeños,9.9,1
128288843,Combo Duo (Para 2),26.8,1
128288843,Gofre con sirope de Kinder Bueno,5.5,1
128288843,La Muergana,1.7,1
128288843,Perla Negra,1.7,1
128288843,Beety Miranda,12.7,1
128288843,Arepa Rumbera Remix,7.7,1
128284202,La Muergana,14.5,1
128258981,Chicken Tenders,7.7,1
128258981,Custom Burger,9.5,1
128258981,Salsa Beety (Servidas aparte),1.0,1
128258981,Queso Cheddar,1.0,1
128258981,Cebolla Caramelizada,1.0,1
128249263,Tequeños,9.9,1
128249263,MayoTrufa (Servidas aparte),1.5,1
128249263,Perla Negra,14.3,1
128249263,Provocativos,10.5,1
128206434,LA UNO,14.6,1
128174935,Arepa Sifrina,7.7,1
128174935,Patatas guarnición,1.5,1
128174935,Inglesa,12.3,1
128160297,Inglesa,12.3,1
128137986,Beety Miranda,12.7,1
128137986,Boniato frito,1.5,1
128137986,La Muergana,14.5,2
128137986,Salsa Equis (Servidas aparte),1.0,1
128054292,Arepa Sifrina,7.7,1
128054292,Arepa Reina Pepiada,7.7,1
127981137,El Zar,14.9,1
127981137,Boniato frito,1.5,1
127949017,Arepa Reina Pepiada,7.7,1
127949017,Patatas guarnición,1.5,1
127949017,Gofre con helado,5.5,1
127949017,Chicken Tenders,7.7,1
127918692,Perla Negra,14.3,1
127918692,Una más de ternera gallega,2.5,1
127918692,Queso Cabra,1.5,1
127918692,LA UNO,14.6,1
127918692,Cheesebacon,12.5,1
127918692,Chicken Tenders,7.7,1
127888876,Tequenutellla PL,3.9,1
127888876,La Muergana,14.5,1
127888876,Madurada PUNTO en lugar de carne normal,1.5,1
127888876,Cocacola bote,1.9,1
127865533,Caprichosa,12.9,1
127788270,Arepa Sifrina,7.7,1
127788270,Mixto de patatas y boniato guarnición,2.0,1
127788270,Cheesebacon,12.5,1
127788270,Salsa BBQ (Servidas aparte),1.0,1
127788270,Madurada HECHA en lugar de carne normal,1.5,1
127766128,El Zar,14.9,1
127766128,Caprichosa,12.9,1
127747784,La Muergana,14.5,1
127747784,Perla Negra,14.3,1
127722187,LA UNO,14.6,2
127722187,Boniato frito,1.5,1
127722187,Patatas Fritas bacon,7.7,1
127712440,LA UNO,14.6,1
127712440,Disco de provolone,2.5,1
127712440,Tequenutellla PL,3.9,1
127641278,La Muergana,14.5,1
127641278,Cheesebacon,12.5,1
127612021,Perla Negra,14.3,1
127612021,Tropichicken,12.9,1
127555408,LA UNO,14.6,1
127555408,Arepa Rumbera Remix,7.7,2
127555408,Salsa Equis (Servidas aparte),1.0,1
127467561,Beety Miranda,12.7,1
127467561,Caprichosa,12.9,1
127376880,Combo Duo (Para 2),26.8,1
127376880,El Zar,2.2,1
127376880,La Muergana,1.7,1
127334507,LA UNO,14.6,1
127334507,Salsa Equis (Servidas aparte),1.0,1
127334507,Boniato frito,1.5,1
127334507,La Muergana,14.5,1
127334507,Salsa Tepuy (Servidas aparte),1.0,1
127282345,Cheesebacon,12.5,1
127282345,Beety Miranda,12.7,1
127282345,Mixto de patatas y boniato,1.5,1
127248023,El Zar,14.9,1
127248023,Caprichosa,12.9,1
127248023,Perla Negra,14.3,1
127247265,Caprichosa,12.9,1
127247265,Salsa Tepuy (Servidas aparte),1.0,1
127247265,Huevo Frito,1.0,2
127247265,La Muergana,14.5,1
127247265,MayoBacon (Servidas aparte),1.5,1
127247265,Nestea bote,1.9,1
127247265,Cocacola bote,1.9,1
127247265,Gofre con helado,5.5,1
127245763,Tropichicken,12.9,1
127245763,Gofre con helado,5.5,1
127244094,LA UNO,14.6,1
127244094,Boniato frito,1.5,1
127244094,Huevo Frito,1.0,1
127244094,El Zar,14.9,1
127244094,Una más de ternera gallega,2.5,1
127244094,Cocacola bote,1.9,1
127240015,Patatas Fritas bacon,7.7,1
127240015,Beety Miranda,12.7,1
127240015,La Muergana,14.5,1
127226846,Tequeños,9.9,1
127226846,Cheesebacon,12.5,1
127226846,Salsa BBQ (Servidas aparte),1.0,1
127226846,Mixto de patatas y boniato,1.5,1
127226846,Una más de ternera gallega,2.5,1
127226846,Huevo Frito,1.0,1
127226846,Cocacola bote,1.9,1
127209406,Arepa Reina Pepiada,7.7,1
127209406,Beety Miranda,12.7,1
127209406,Salsa Tepuy (Servidas aparte),1.0,1
127209406,Lechuga,0.5,1
127104348,Como Ego (para 1),13.4,1
127104348,La Uno,2.0,1
127082413,Caprichosa,12.9,1
127082413,La Muergana,14.5,1
127082413,Una más de ternera gallega,2.5,1
127075253,La Muergana,14.5,1
127050431,Beety Miranda,12.7,1
127050431,LA UNO,14.6,1
126999750,LA UNO,14.6,1
126999750,Salsa Tepuy (Servidas aparte),1.0,2
126999750,Perla Negra,14.3,1
126999750,Disco de provolone,2.5,1
126834348,Arepa Sifrina,7.7,1
126790301,Tequemix,9.9,1
126790301,Arepa Rumbera Remix,7.7,2
126766262,Perla Negra,14.3,1
126766262,Provocativos,10.5,1
126766262,Arepa Sifrina,7.7,1
126737004,LA UNO,14.6,2
126737004,Ranch (Servidas aparte),1.0,1
126737004,Boniato frito,1.5,2
126737004,Extra Carne Madurada (dry-aged),3.5,1
126737004,Cebolla Caramelizada,1.0,1
126733118,Caprichosa,12.9,4
