order_id,item_id,item,quantity,price,total_item,service_fee,order_id_software
18937,1,Patatas fritas Pequeñas,1,2.5,2.5,0.0,35999
18937,2,Kahuna Burger,1,8.5,8.5,0.0,35999
18936,3,Sweet Home Sanvi,1,12.3,12.3,0.0,B0FE0
18936,4,Chicken Tenders,1,7.6,7.6,0.0,B0FE0
18936,5,Tequeños,1,6.4,6.4,0.0,B0FE0
18936,6,Ned Kelly,1,10.9,10.9,0.0,B0FE0
18936,1,Patatas fritas Pequeñas,3,2.5,7.5,0.0,B0FE0
18936,7,Zima Blue,1,11.7,11.7,0.0,B0FE0
18935,5,Tequeños,1,6.4,6.4,0.0,733718610
18935,8,Salsa Sweet-Umbrella,1,1.5,1.5,0.0,733718610
18935,9,El honesto Mike,1,12.3,12.3,0.0,733718610
18935,10,BBQ-Bourbon,1,1.5,1.5,0.0,733718610
18935,11,Alitas,1,7.2,7.2,0.0,733718610
18934,5,Tequeños,2,6.4,12.8,0.0,MJCSFN4D
18934,2,Kahuna Burger,2,8.5,17.0,0.0,MJCSFN4D
18933,12,Sweet Home Alicante,1,11.7,11.7,0.0,2EA3C
18932,13,Combo Para Compartir,1,30.6,30.6,0.0,AZNGLQJ3
18931,2,Kahuna Burger,2,8.5,17.0,0.0,MFP9UKX1
18930,14,Patatas fritas L,1,4.5,4.5,0.0,733741998
18930,12,Sweet Home Alicante,1,12.3,12.3,0.0,733741998
18929,15,Cerveza Estrella Galicia 33CL,1,1.9,1.9,0.0,733742425
18929,16,Oklahoma Umbrella,2,7.5,15.0,0.0,733742425
18928,5,Tequeños,2,6.4,12.8,0.0,MVD6YD6J
18928,17,El Honesto Mike,2,12.7,25.4,0.0,MVD6YD6J
18928,18,Dulces sueños,1,5.9,5.9,0.0,MVD6YD6J
18927,19,Patatas fritas Grandes,1,4.5,4.5,0.0,MAHT1AY8
18927,2,Kahuna Burger,2,8.5,17.0,0.0,MAHT1AY8
18926,20,Charles Wells,1,8.3,8.3,0.0,733746170
18926,2,Kahuna Burger,1,8.1,8.1,0.0,733746170
18926,14,Patatas fritas L,1,4.5,4.5,0.0,733746170
18925,21,RABIOSA,1,14.2,14.2,0.0,AHALDM3L
18924,19,Patatas fritas Grandes,1,4.5,4.5,0.0,MSGP4Y9L
18924,2,Kahuna Burger,4,8.5,34.0,0.0,MSGP4Y9L
18924,5,Tequeños,2,6.4,12.8,0.0,MSGP4Y9L
18923,22,Coca-cola,1,1.9,1.9,0.0,733746893
18923,6,Ned Kelly,1,10.9,10.9,0.0,733746893
18923,23,Patatas fritas S,1,2.5,2.5,0.0,733746893
18922,6,Ned Kelly,1,10.9,10.9,0.0,8F7A0
18922,1,Patatas fritas Pequeñas,1,2.5,2.5,0.0,8F7A0
18921,24,Slim Combo (Para 1),1,11.9,11.9,0.0,733748639
18920,25,Sweet Home Madrid,1,12.7,12.7,0.0,133814716
18920,26,Salsa BBQ-Bourbon,1,1.5,1.5,0.0,133814716
18920,1,Patatas fritas Pequeñas,1,2.5,2.5,0.0,133814716
18919,14,Patatas fritas L,1,4.5,4.5,0.0,733751823
18919,2,Kahuna Burger,1,8.1,8.1,0.0,733751823
18919,16,Oklahoma Umbrella,1,7.5,7.5,0.0,733751823
18919,12,Sweet Home Alicante,1,12.3,12.3,0.0,733751823
18918,7,Zima Blue,2,11.0,22.0,0.0,AA661
18918,19,Patatas fritas Grandes,1,3.5,3.5,0.0,AA661
18907,27,Cerveza Mahou 5 Estrellas (330ml),1,1.9,1.9,0.0,133816242
18907,28,Cheesecake de Oreo,1,5.9,5.9,0.0,133816242
18907,25,Sweet Home Madrid,1,12.7,12.7,0.0,133816242
18917,25,Sweet Home Madrid,1,12.7,12.7,0.0,373E6
18917,29,Salsa X,1,1.5,1.5,0.0,373E6
18916,1,Patatas fritas Pequeñas,1,2.5,2.5,0.0,A9AEE
18916,25,Sweet Home Madrid,1,12.7,12.7,0.0,A9AEE
18915,30,Slim Combo (para 1),1,11.9,11.9,0.0,A37C8
18914,2,Kahuna Burger,2,8.5,17.0,0.0,MJZJTMLV
18913,5,Tequeños,1,6.4,6.4,0.0,22138
18913,31,Monchi Meal (Para 2),1,23.8,23.8,0.0,22138
18912,7,Zima Blue,1,11.7,11.7,0.0,F7581
18911,32,Monchi Meal Combo (Para 2),1,23.8,23.8,0.0,733757412
18910,33,Patatas Fritas,1,2.5,2.5,0.0,ALUFTNGM
18910,34,Burger La Uno Basic,1,12.6,12.6,0.0,ALUFTNGM
18909,24,Slim Combo (Para 1),1,11.9,11.9,0.0,54E7D
18908,12,Sweet Home Alicante,1,12.3,12.3,0.0,733759344
18908,9,El honesto Mike,1,12.3,12.3,0.0,733759344
18908,11,Alitas,1,7.2,7.2,0.0,733759344
18906,24,Slim Combo (Para 1),2,11.9,23.8,0.0,133817356
18905,1,Patatas fritas Pequeñas,1,2.5,2.5,0.0,91D24
18905,2,Kahuna Burger,1,8.5,8.5,0.0,91D24
18904,20,Charles Wells,1,7.7,7.7,0.0,6E439
18904,1,Patatas fritas Pequeñas,1,2.0,2.0,0.0,6E439
18903,35,Burger Cheesebacon,4,10.9,43.6,0.0,C5CBD
18902,36,Coca-Cola Zero Azúcar lata 330ml.,1,1.9,1.9,0.0,MJG1XF7K
18902,37,Tarta Marquesa de Nutella,1,5.9,5.9,0.0,MJG1XF7K
18902,38,Boniato frito grande,1,6.9,6.9,0.0,MJG1XF7K
18902,6,Ned Kelly,1,11.4,11.4,0.0,MJG1XF7K
18901,19,Patatas fritas Grandes,1,4.5,4.5,0.0,MJYCRCHC
18901,5,Tequeños,2,6.4,12.8,0.0,MJYCRCHC
18901,39,Salsa Zima Blue,1,1.5,1.5,0.0,MJYCRCHC
18901,17,El Honesto Mike,2,12.7,25.4,0.0,MJYCRCHC
18900,34,Burger La Uno Basic,1,12.6,12.6,0.0,AYSH8BHZ
