item_id,item
1,Patatas fritas Pequeñas
2,Kahuna Burger
3,Sweet Home Sanvi
4,Chicken Tenders
5,Tequeños
6,Ned Kelly
7,Zima Blue
8,Salsa Sweet-Umbrella
9,El honesto Mike
10,BBQ-Bourbon
11,Alitas
12,Sweet Home Alicante
13,Combo Para Compartir
14,Patatas fritas L
15,Cerveza Estrella Galicia 33CL
16,Oklahoma Umbrella
17,El Honesto Mike
18,Dulces sueños
19,Patatas fritas Grandes
20,Charles Wells
21,RABIOSA
22,Coca-cola
23,Patatas fritas S
24,Slim Combo (Para 1)
25,Sweet Home Madrid
26,Salsa BBQ-Bourbon
27,Cerveza Mahou 5 Estrellas (330ml)
28,Cheesecake de Oreo
29,Salsa X
30,Slim Combo (para 1)
31,Monchi Meal (Para 2)
32,Monchi Meal Combo (Para 2)
33,Patatas Fritas
34,Burger La Uno Basic
35,Burger Cheesebacon
36,Coca-Cola Zero Azúcar lata 330ml.
37,Tarta Marquesa de Nutella
38,Boniato frito grande
39,Salsa Zima Blue
40,Chicken Tenders (7 Uds.)
41,Burger La Caprichosa
42,Coca-Cola Sabor Original lata 330ml.
43,Salsa Mayo Trufa
44,Burger Perla Negra
45,Burger La Zar Basic
46,Tequeños (4 Uds.)
47,Alitas De Pollo Fritas (7 Uds.)
48,Cheescake de Oreo
49,Hamburguesa El Zar
50,Hamburguesa La Caprichosa
51,Hamburguesa Perla Negra
52,Salsa Spicy
53,Boniato Frito
54,Sweet Home Benidorm
55,El Pelirojo Jimmy
56,Arepa Reina Pepiada
57,Arepa La abuela Rumbera
58,Tequechapas (4 Uds.)
59,Tequemix
60,Hamburguesa La Uno
61,Teque Nutella
62,Arepa sifrina
63,Hamburguesa Beety Miranda
64,Chicken tenders
65,Burger La Riki
66,La Caprichosa
67,PACK 6 TEQUES
68,Boniato frito pequeño
69,Rabiosa
70,Ei-ou
71,Agua
72,Coca-Cola Zero
73,Coca-Cola
74,Nestea Té Negro Limón lata 330ml.
75,Hamburguesa Mango Vice
76,Patatas (Grande)
77,Marquesa de Nutella
78,Agua (330 Ml.)
79,Salsa Mayo Pepper
80,Arepa Sifrina
81,LA UNO
82,Combo Duo (Para 2)
83,Nachos Anaya
84,Combo Ego (para 1)
85,Arepa isleña
86,Arepa la rumbera remix
87,Trío criollo
88,Hamburguesa cheesebacon
89,El Zar
90,Arepa Rumbera Remix
91,La Muergana
92,Cocacola bote
93,Combo Para Ti
94,Gofre
95,Hamburguesa EI - OU
96,Patatas (Pequeña)
97,Arepa Salsera
98,Sprite lata 330ml.
99,New York
100,Combo Para Los Dos
101,Alitas Kentucky (10 und)
102,Beety Miranda
103,Combo Para Ti Solito
104,Alitas Kentucky (5 und)
105,Hamburguesa La Vegana
106,Pack de 12 Tequeños
107,Cerveza San Miguel
108,Hamburguesa tropi chicken
109,Hamburguesa La Muergana
110,Hamburguesa La Inglesa
111,Nestea
112,Coca-cola Zero
113,Hamburguesa La Dos
114,Crew Combo (Para 4)
115,La Muérgana
116,La catira
117,Reina pepiada
118,La rumbera remix
119,Cheese Cake de Oreo
120,Marquesa de Dulce de leche
121,Patatas bacon cheddar
122,Caprichosa
123,Salsa Mayotrufa
124,Tarta de Caramelo a la sal
125,Cheesebacon
126,La Dos
127,Roooaaarrr
128,La Uno
129,Patatas fritas con bacon y cheddar
130,Peque Burger
131,La Inglesa
132,Nachos anaya
133,Arepa reina pepiada
134,Arepa Pelúa
135,Nestea bote
136,Sprite
137,Sombrero Patitos Facheros
138,Arepa la pelúa
139,Aquarius Limón lata 330ml.
140,Provocativos
141,Custom Burger
142,Perla Negra
143,Patito de goma blanco
144,Pack 18 tequeños
145,Ray Kroc
146,Ración de patatas
147,Los provocativos
148,Salsa MayoTrufa
149,MayoPepper
150,Mango Vice
151,PACK 12 TEQUEÑOS
152,Alitas Kentucky  (5Und)
153,La Beety miranda
154,Patatas Fritas bacon
155,Trío Criollo
156,Polar para llevar
157,Inglesa
158,Tropichicken
159,Tequechapas
160,Tequenutella PL
161,Combo Para La Familia
162,Cocacola zero bote
163,Tropi Chicken
164,Salsa Tepuy
165,Alitas Kentucky (10Und)
166,Aquarius limon bote
167,La Vegana
168,Coca-cola bote
169,Salsa BBQ picante
170,Arepa Quesuda
171,La Catira
172,KIT ANTI RESACA
173,Aquarius Naranja lata 330ml.
174,Cerveza San Miguel (330 Ml.)
175,Sifrina
176,Aquarius limón
177,Combo Ego (Para 1)
178,Tequenutellas
179,Arepa Cabramelizada
180,Tequeplátanos (4 Uds.)
181,Salsa de queso cheddar
182,Salsa de queso azul
183,Althaia IPA PL
184,La pelúa
185,Salsa MayoBacon
186,Ración de boniato
187,Salsa Beety
188,Kalifornia
189,Habanera
190,La Habanera
191,PACK 12 TEQUES
192,Althaia Mediterranean Lager PL
193,Provoleta
194,PACK 18 TEQUEÑOS
195,Cheesecake de la abuela
196,Alitas Kentucky (5U)
197,Tequeguayaba (4 Uds.)
198,Coca-cola Zero bote
199,Cerveza Estrella Galicia
200,El Pelirrojo Jimmy
201,Padro
202,Mimosa
203,MIMOSA
204,PACK 18 TEQUES
205,Vegan Lisa Marie
206,Kombucha jengibre
207,Lemon Pie
208,Suspiro limeño
209,Boniato frito S
210,Kombucha frutos rojos
211,Spooky
